school,API,subject,classsize,year,score
1,911,ELA,20,13,78.39
1,912,ELA,22,14,79.85
1,917,ELA,23,15,81.34
1,917,ELA,22,16,82.56
1,919,ELA,24,17,83.12
1,911,Math,21,13,83.77
1,912,Math,22,14,84.9
1,917,Math,24,15,86.12
1,917,Math,23,16,88.99
1,919,Math,23,17,88.4
1,911,Science,21,13,80.19
1,912,Science,22,14,83.15
1,917,Science,24,15,84.45
1,917,Science,23,16,86.66
1,919,Science,23,17,88.43
2,732,ELA,34,13,68.03
2,745,ELA,36,14,70.67
2,751,ELA,36,15,74.17
2,753,ELA,37,16,72.78
2,753,ELA,38,17,73.18
2,732,Math,34,13,67.88
2,745,Math,34,14,68.34
2,751,Math,35,15,70.3
2,753,Math,37,16,71.22
2,753,Math,36,17,72.12
2,732,Science,34,13,72.96
2,745,Science,34,14,73.65
2,751,Science,36,15,74.58
2,753,Science,35,16,76.36
2,753,Science,35,17,76.23
